"id","nome","comune_appartenenza","comuneId","vendita_minima(€/m²)","vendita_media(€/m²)","vendita_massima(€/m²)","affitto_minimo(€/mese)","affitto_medio(€/mese)","affitto_massimo(€/mese)","popolazione","densita_popolazione(ab./km²)","superficie(km²)","famiglie","maschi(%)","femmine(%)","stranieri(%)","eta_media(anni)"
32,"Corvetto, Rogoredo",Milano,1,2513,3904,2975,7,18.93,9.25,0,0,0,0,0,0,0,0
33,"Napoli, Soderini",Milano,1,2700,5152,4044,9.5,18.26,13.25,0,0,0,0,0,0,0,0
34,Abbiategrasso,Abbiategrasso,34,925,1717,5271,6.63,10.72,22.02,32383,677.8,47.78,14210,48.8,51.2,13.4,45.1
35,Albairate,Albairate,35,925,1634,5271,6.63,7.86,22.02,4713,314.6,14.98,2003,49.3,50.7,5.8,45.4
36,Arconate,Arconate,36,925,1259,5271,6.63,7.76,22.02,6758,802.5,8.42,2760,49.2,50.8,4.4,44
37,Arese,Arese,37,925,2481,5271,6.63,12.27,22.02,19551,2972.8,6.58,8585,48.1,51.9,6.9,47.1
38,Arluno,Arluno,38,925,1652,5271,6.63,10.2,22.02,12275,993.3,12.36,5349,49.6,50.4,9,44.1
39,Assago,Assago,39,925,3405,5271,6.63,15.44,22.02,9140,1135.2,8.05,3901,49.4,50.6,4.9,43.1
40,Baranzate,Baranzate,40,925,1815,5271,6.63,12.46,22.02,11762,4243.2,2.77,5376,51.9,48.1,36.3,42.7
41,Bareggio,Bareggio,41,925,1756,5271,6.63,10.48,22.02,17174,1508.5,11.38,7540,49,51,7.2,45.7
42,Basiano,Basiano,42,925,1555,5271,6.63,10.3,22.02,3654,796.9,4.59,1542,50.2,49.8,9.5,45
43,Basiglio,Basiglio,43,925,3055,5271,6.63,13.67,22.02,8040,946.7,8.49,3448,48.3,51.7,10.9,44.1
44,Bellinzago Lombardo,Bellinzago Lombardo,44,925,1786,5271,6.63,11.39,22.02,3809,829.8,4.59,1647,49.2,50.8,9.3,45.4
45,Bernate Ticino,Bernate Ticino,45,925,1266,5271,6.63,7.7,22.02,2976,244.7,12.16,1308,49.5,50.5,4.7,46.9
46,Besate,Besate,46,925,1188,5271,6.63,8.4,22.02,2028,159.1,12.74,889,50.5,49.5,6.3,44.9
47,Binasco,Binasco,47,925,1728,5271,6.63,8.7,22.02,7086,1830.4,3.87,3225,47.5,52.5,8.3,47.1
48,Boffalora Sopra Ticino,Boffalora Sopra Ticino,48,925,1292,5271,6.63,7.09,22.02,4110,537,7.65,1777,49.7,50.3,6.3,46.5
49,Bollate,Bollate,49,1789,2103,2261,9.6,10.48,12.93,36166,2758.9,13.11,16117,48,52,7.5,46.4
50,Centro,Bollate,49,0,2261,0,0,10.39,0,0,0,0,0,0,0,0,0
51,"Cascina del Sole, Cassina Nuova",Bollate,49,0,1899,0,0,9.6,0,0,0,0,0,0,0,0,0
52,"Castellazzo, Ospiate",Bollate,49,0,1789,0,0,12.93,0,0,0,0,0,0,0,0,0
53,Bresso,Bresso,53,925,2261,5271,6.63,12.85,22.02,26081,7711.9,3.38,12075,48.6,51.4,14.4,47.3
54,Bubbiano,Bubbiano,54,925,1455,5271,6.63,8.07,22.02,2460,834.2,2.95,1040,50.4,49.6,7,42.3
55,Buccinasco,Buccinasco,55,925,2796,5271,6.63,12.35,22.02,26912,2241.6,12.01,11278,48.5,51.5,5.9,44.7
56,Buscate,Buscate,56,925,1074,5271,6.63,7.2,22.02,4633,591.5,7.83,2024,49.3,50.7,7.2,45.9
57,Bussero,Bussero,57,925,2000,5271,6.63,11.12,22.02,8341,1818.7,4.59,3652,48.2,51.8,6.3,46.9
58,Busto Garolfo,Busto Garolfo,58,925,1474,5271,6.63,8.5,22.02,14043,1081.3,12.99,5942,49.9,50.1,8,45.9
59,Calvignasco,Calvignasco,59,925,1318,5271,6.63,7.74,22.02,1222,707.5,1.73,477,49.8,50.2,6,43.3
60,Cambiago,Cambiago,60,925,1794,5271,6.63,9.03,22.02,7118,991.3,7.18,3043,50.3,49.7,7.2,42.6
61,Canegrate,Canegrate,61,925,1621,5271,6.63,8.88,22.02,12499,2379.1,5.25,5357,48.9,51.1,9,46.2
62,Carpiano,Carpiano,62,925,1817,5271,6.63,10.73,22.02,4150,240.7,17.24,1781,51.3,48.7,7.9,40.9
63,Carugate,Carugate,63,925,2071,5271,6.63,10.2,22.02,15664,2908.2,5.39,6666,49.6,50.4,7.9,43.8
64,Casarile,Casarile,64,925,1665,5271,6.63,10.1,22.02,4020,548.8,7.32,1691,49.3,50.7,8,43.1
65,Casorezzo,Casorezzo,65,925,1566,5271,6.63,7.73,22.02,5535,839.2,6.6,2327,49.1,50.9,5.8,44.7
66,Cassano d'Adda,Cassano d'Adda,66,925,1645,5271,6.63,9.34,22.02,19194,1031.8,18.6,8318,49,51,14.3,45.1
67,Cassina de' Pecchi,Cassina de' Pecchi,67,925,2419,5271,6.63,11.69,22.02,13941,1933.7,7.21,5975,48.6,51.4,9.7,45.2
68,Cassinetta di Lugagnano,Cassinetta di Lugagnano,68,925,1517,5271,6.63,7.5,22.02,1906,574.4,3.32,807,48.8,51.2,3.7,44.4
69,Castano Primo,Castano Primo,69,925,1120,5271,6.63,8.27,22.02,10862,566.5,19.17,4620,50,50,11.7,45.7
70,Cernusco sul Naviglio,Cernusco sul Naviglio,70,2370,3020,3101,11.5,13.57,13.66,34969,2645.3,13.22,15211,48.1,51.9,5.9,44.6
71,Centro,Cernusco sul Naviglio,70,0,3101,0,0,13.66,0,0,0,0,0,0,0,0,0
72,"Zona Industriale, Ronco",Cernusco sul Naviglio,70,0,2370,0,0,11.8,0,0,0,0,0,0,0,0,0
73,Cascine di Cernusco sul Naviglio,Cernusco sul Naviglio,70,0,2589,0,0,11.5,0,0,0,0,0,0,0,0,0
74,Cerro al Lambro,Cerro al Lambro,74,925,1939,5271,6.63,8.58,22.02,5090,510.9,9.96,2086,49.4,50.6,5.3,45.3
75,Cerro Maggiore,Cerro Maggiore,75,925,1511,5271,6.63,8.94,22.02,14984,1480.5,10.12,6490,48.7,51.3,7.9,46
76,Cesano Boscone,Cesano Boscone,76,925,2406,5271,6.63,12.14,22.02,23520,5971.4,3.94,10465,48.6,51.4,12.1,46
77,Cesate,Cesate,77,925,1963,5271,6.63,10.48,22.02,14218,2464.9,5.77,6091,49,51,8,44.2
78,Cinisello Balsamo,Cinisello Balsamo,78,1956,2058,2162,10.01,12.13,13.4,74391,5846.2,12.72,33835,49.1,50.9,21.4,45.5
79,"Centro, Piazza Gramsci, Bellaria",Cinisello Balsamo,78,0,2156,0,0,10.7,0,0,0,0,0,0,0,0,0
80,"Robecco, Balsamo, Fulvio Testi",Cinisello Balsamo,78,0,1978,0,0,13.4,0,0,0,0,0,0,0,0,0
81,"Campo dei Fiori, Parco Nord",Cinisello Balsamo,78,0,1956,0,0,10.01,0,0,0,0,0,0,0,0,0
82,"Borgo Misto, Nigozza",Cinisello Balsamo,78,0,2162,0,0,10.57,0,0,0,0,0,0,0,0,0
83,Cisliano,Cisliano,83,925,1905,5271,6.63,8.24,22.02,5031,342.8,14.68,2160,49.8,50.2,4.4,43
84,Cologno Monzese,Cologno Monzese,84,925,2219,5271,6.63,12.13,22.02,46633,5550.4,8.4,20848,48.4,51.6,16.9,45.4
85,Colturano,Colturano,85,925,1552,5271,6.63,9.54,22.02,2041,490.1,4.16,858,50.6,49.4,7.3,42.1
86,Corbetta,Corbetta,86,1485,1697,1843,9.08,9.4,9.85,18763,1004.1,18.69,8098,49.2,50.8,8.7,43.8
87,Centro,Corbetta,86,0,1642,0,0,9.08,0,0,0,0,0,0,0,0,0
88,"Castellazzo, Soriano, Cerello",Corbetta,86,0,1485,0,0,9.56,0,0,0,0,0,0,0,0,0
89,"Semicentro, Isola",Corbetta,86,0,1843,0,0,9.85,0,0,0,0,0,0,0,0,0
90,Cormano,Cormano,90,925,2319,5271,6.63,12.06,22.02,20327,4544,4.47,9050,48.2,51.8,12.5,45.1
91,Cornaredo,Cornaredo,91,925,1931,5271,6.63,10.66,22.02,20576,1859.2,11.07,9137,48.9,51.1,7.1,45.6
92,Corsico,Corsico,92,925,2272,5271,6.63,13.8,22.02,34438,6430.5,5.36,16222,47.9,52.1,17.4,46.4
93,Cuggiono,Cuggiono,93,925,1224,5271,6.63,8.37,22.02,8138,545.3,14.93,3519,49.4,50.6,10.3,45.9
94,Cusago,Cusago,94,925,2654,5271,6.63,11.62,22.02,4402,384.2,11.46,1891,50,50,4.2,43.2
95,Cusano Milanino,Cusano Milanino,95,925,2525,5271,6.63,12.19,22.02,18869,6124.2,3.08,8814,47.7,52.3,7.9,48.3
96,Dairago,Dairago,96,925,1477,5271,6.63,8.27,22.02,6372,1130.8,5.64,2614,48.9,51.1,5,43.6
97,Dresano,Dresano,97,925,1687,5271,6.63,9.4,22.02,3035,872.3,3.48,1294,49.3,50.7,8.4,45.1
98,Gaggiano,Gaggiano,98,925,1899,5271,6.63,10.67,22.02,9218,351.1,26.26,4160,48.7,51.3,7,45.3
99,Garbagnate Milanese,Garbagnate Milanese,99,925,1879,5271,6.63,10.39,22.02,26792,3005.6,8.91,11592,48.6,51.4,10,46.1
100,Gessate,Gessate,100,925,2095,5271,6.63,12.56,22.02,8791,1133,7.76,3857,49.7,50.3,8.9,43.1
101,Gorgonzola,Gorgonzola,101,925,2211,5271,6.63,11.86,22.02,20949,1980,10.58,9199,48.5,51.5,11.7,44.3
102,Grezzago,Grezzago,102,925,1352,5271,6.63,10.62,22.02,3071,1248.6,2.46,1275,51.2,48.8,11.9,41.9
103,Gudo Visconti,Gudo Visconti,103,925,1702,5271,6.63,9.58,22.02,1634,267.8,6.1,657,49,51,3.2,44.1
104,Inveruno,Inveruno,104,925,1346,5271,6.63,8.19,22.02,8487,699.4,12.13,3762,48.6,51.4,5.9,47.5
105,Inzago,Inzago,105,925,2085,5271,6.63,10.76,22.02,11245,921.3,12.21,4881,49.6,50.4,8.6,45.2
106,Lacchiarella,Lacchiarella,106,925,1707,5271,6.63,10.79,22.02,9060,376.9,24.04,3941,48.9,51.1,11,44.5
107,Lainate,Lainate,107,925,2101,5271,6.63,10.97,22.02,26126,2029.9,12.87,11253,49,51,5.7,45.4
108,Legnano,Legnano,108,1426,1638,1943,9.4,10.21,11.08,59955,3387.9,17.7,26634,48.3,51.7,13,45.6
109,Centro,Legnano,108,0,1680,0,0,10.77,0,0,0,0,0,0,0,0,0
110,Oltre Stazione,Legnano,108,0,1620,0,0,10.28,0,0,0,0,0,0,0,0,0
111,"Saronnese, Olmina",Legnano,108,0,1943,0,0,11.08,0,0,0,0,0,0,0,0,0
112,"Piscina, Parco Castello",Legnano,108,0,1658,0,0,9.4,0,0,0,0,0,0,0,0,0
113,"Frati, San Martino",Legnano,108,0,1426,0,0,9.6,0,0,0,0,0,0,0,0,0
114,"Legnarello, Vecchio Ospedale, Sant'Erasmo",Legnano,108,0,1690,0,0,9.48,0,0,0,0,0,0,0,0,0
115,Liscate,Liscate,115,925,1793,5271,6.63,12.92,22.02,4009,426.2,9.41,1738,51,49,10.1,43.3
116,Locate di Triulzi,Locate di Triulzi,116,925,2040,5271,6.63,11.39,22.02,10264,814,12.61,4474,49.2,50.8,12.3,43.4
117,Magenta,Magenta,117,925,1561,5271,6.63,9.32,22.02,24130,1097.2,21.99,10716,48.4,51.6,11.2,46.3
118,Magnago,Magnago,118,925,1495,5271,6.63,8.58,22.02,9336,831.3,11.23,3963,49.6,50.4,6.3,44.9
119,Marcallo con Casone,Marcallo con Casone,119,925,1381,5271,6.63,8.21,22.02,6186,753.6,8.21,2662,49.4,50.6,6.5,45.5
120,Masate,Masate,120,925,1590,5271,6.63,10.68,22.02,3671,837.2,4.39,1569,50.1,49.9,9.3,43.2
121,Mediglia,Mediglia,121,925,1836,5271,6.63,11.24,22.02,12293,559.9,21.95,5045,49.9,50.1,12.2,43.5
122,Melegnano,Melegnano,122,925,2133,5271,6.63,10.74,22.02,17972,3595.6,5,8289,47.7,52.3,14.8,45.1
123,Melzo,Melzo,123,925,1876,5271,6.63,10.95,22.02,18503,1884.1,9.82,8370,48.2,51.8,12.7,46.1
124,Mesero,Mesero,124,925,1586,5271,6.63,8.09,22.02,4191,743.1,5.64,1867,50.2,49.8,5.7,45.7
125,Morimondo,Morimondo,125,925,1448,5271,6.63,9.08,22.02,1024,39.4,26,437,50.2,49.8,2.9,47.5
126,Motta Visconti,Motta Visconti,126,925,1223,5271,6.63,6.82,22.02,8120,772.4,10.51,3512,49.1,50.9,8.2,44.8
127,Nerviano,Nerviano,127,925,1577,5271,6.63,9.29,22.02,16928,1278.3,13.24,7410,48.8,51.2,7.2,46.7
128,Nosate,Nosate,128,925,1070,5271,6.63,7.25,22.02,636,130.4,4.88,300,48.3,51.7,2.7,49.6
129,Novate Milanese,Novate Milanese,129,925,2540,5271,6.63,12.36,22.02,19877,3639.2,5.46,9078,47.9,52.1,8.2,47.3
130,Noviglio,Noviglio,130,925,1639,5271,6.63,7.38,22.02,4528,285.5,15.86,1866,50.4,49.6,4.1,42.5
131,Opera,Opera,131,925,2388,5271,6.63,13.02,22.02,14152,1852.7,7.64,6388,48,52,7.9,46.3
132,Ossona,Ossona,132,925,1465,5271,6.63,9.1,22.02,4343,725.8,5.98,1896,50.6,49.4,7.2,45.1
133,Ozzero,Ozzero,133,925,1197,5271,6.63,8.38,22.02,1405,128,10.97,621,48.8,51.2,4.4,45.9
134,Paderno Dugnano,Paderno Dugnano,134,1527,2085,2274,8.91,10.19,11.72,47090,3336.3,14.11,20662,48.6,51.4,9.7,45.8
135,Centro,Paderno Dugnano,134,0,2274,0,0,10.82,0,0,0,0,0,0,0,0,0
136,Semicentro,Paderno Dugnano,134,0,2186,0,0,10.22,0,0,0,0,0,0,0,0,0
137,Incirano,Paderno Dugnano,134,0,1950,0,0,11.72,0,0,0,0,0,0,0,0,0
138,Palazzolo Milanese,Paderno Dugnano,134,0,2095,0,0,10.55,0,0,0,0,0,0,0,0,0
139,Cassina Amata,Paderno Dugnano,134,0,2161,0,0,10.44,0,0,0,0,0,0,0,0,0
140,"Villaggio Ambrosiano, Battiloca",Paderno Dugnano,134,0,1527,0,0,10.13,0,0,0,0,0,0,0,0,0
141,Confini con Cusano,Paderno Dugnano,134,0,2030,0,0,9.87,0,0,0,0,0,0,0,0,0
142,Calderara,Paderno Dugnano,134,0,1996,0,0,8.91,0,0,0,0,0,0,0,0,0
143,Pantigliate,Pantigliate,143,925,1913,5271,6.63,13.28,22.02,5796,1018.3,5.69,2525,48.6,51.4,10.4,45
144,Parabiago,Parabiago,144,1513,1725,1824,9.6,9.93,11.5,27859,1947.1,14.31,12241,49.2,50.8,8.6,45.2
145,Centro,Parabiago,144,0,1824,0,0,9.84,0,0,0,0,0,0,0,0,0
146,San Lorenzo,Parabiago,144,0,1513,0,0,11.5,0,0,0,0,0,0,0,0,0
147,"Ravello, Villastanza, Villapia",Parabiago,144,0,1682,0,0,9.63,0,0,0,0,0,0,0,0,0
148,Zona Rurale,Parabiago,144,0,1683,0,0,9.6,0,0,0,0,0,0,0,0,0
149,Paullo,Paullo,149,925,1708,5271,6.63,10.07,22.02,11108,1259.2,8.82,4910,49.1,50.9,12,45.2
150,Pero,Pero,150,925,2373,5271,6.63,13.58,22.02,11477,2305.6,4.98,5222,49.5,50.5,17.2,44.2
151,Peschiera Borromeo,Peschiera Borromeo,151,925,2396,5271,6.63,12.62,22.02,24084,1037.2,23.22,10675,49,51,8,44.6
152,Pessano con Bornago,Pessano con Bornago,152,925,2012,5271,6.63,10.84,22.02,8983,1348.2,6.66,3781,49.5,50.5,8.8,44.9
153,Pieve Emanuele,Pieve Emanuele,153,925,1960,5271,6.63,13.16,22.02,15671,1213.4,12.91,6780,50,50,11.4,44
154,Pioltello,Pioltello,154,925,1857,5271,6.63,12.58,22.02,36202,2764.7,13.09,15015,50.1,49.9,24.5,42.7
155,Pogliano Milanese,Pogliano Milanese,155,925,1787,5271,6.63,11.12,22.02,8393,1754.1,4.78,3553,49.8,50.2,8.7,45.4
156,Pozzo d'Adda,Pozzo d'Adda,156,925,1770,5271,6.63,10.66,22.02,6472,1554.2,4.16,2813,50.8,49.2,12,41.6
157,Pozzuolo Martesana,Pozzuolo Martesana,157,925,1834,5271,6.63,10.34,22.02,8543,703.7,12.14,3823,48.9,51.1,9,44.8
158,Pregnana Milanese,Pregnana Milanese,158,925,2133,5271,6.63,9.95,22.02,7286,1435.6,5.08,3223,49.7,50.3,6.3,44.4
159,Rescaldina,Rescaldina,159,925,1534,5271,6.63,9.32,22.02,14129,1759.4,8.03,6108,49.3,50.7,8.6,45.5
160,Rho,Rho,160,1855,2123,2316,9,12.01,14.51,50618,2275.7,22.24,23505,48.3,51.7,11.6,46.1
161,Centro,Rho,160,0,2310,0,0,12.41,0,0,0,0,0,0,0,0,0
162,San Martino - Ghisolfa,Rho,160,0,2286,0,0,12.2,0,0,0,0,0,0,0,0,0
